Stadtteilnummer,Stadtteilname,Jahr,Geburten
11,Altstadt,2015,.
11,Altstadt,2016,24
11,Altstadt,2017,16
11,Altstadt,2018,.
11,Altstadt,2019,20
11,Altstadt,2020,18
11,Altstadt,2021,14
11,Altstadt,2022,19
12,Carlstadt,2015,23
12,Carlstadt,2016,32
12,Carlstadt,2017,28
12,Carlstadt,2018,17
12,Carlstadt,2019,15
12,Carlstadt,2020,19
12,Carlstadt,2021,20
12,Carlstadt,2022,26
13,Stadtmitte,2015,151
13,Stadtmitte,2016,175
13,Stadtmitte,2017,143
13,Stadtmitte,2018,142
13,Stadtmitte,2019,143
13,Stadtmitte,2020,133
13,Stadtmitte,2021,131
13,Stadtmitte,2022,133
14,Pempelfort,2015,402
14,Pempelfort,2016,386
14,Pempelfort,2017,441
14,Pempelfort,2018,466
14,Pempelfort,2019,413
14,Pempelfort,2020,432
14,Pempelfort,2021,442
14,Pempelfort,2022,422
15,Derendorf,2015,241
15,Derendorf,2016,257
15,Derendorf,2017,267
15,Derendorf,2018,224
15,Derendorf,2019,244
15,Derendorf,2020,179
15,Derendorf,2021,225
15,Derendorf,2022,210
16,Golzheim,2015,169
16,Golzheim,2016,178
16,Golzheim,2017,148
16,Golzheim,2018,178
16,Golzheim,2019,148
16,Golzheim,2020,171
16,Golzheim,2021,125
16,Golzheim,2022,140
21,Flingern Süd,2015,93
21,Flingern Süd,2016,119
21,Flingern Süd,2017,127
21,Flingern Süd,2018,115
21,Flingern Süd,2019,101
21,Flingern Süd,2020,93
21,Flingern Süd,2021,105
21,Flingern Süd,2022,83
22,Flingern Nord,2015,271
22,Flingern Nord,2016,324
22,Flingern Nord,2017,276
22,Flingern Nord,2018,324
22,Flingern Nord,2019,340
22,Flingern Nord,2020,310
22,Flingern Nord,2021,338
22,Flingern Nord,2022,335
23,Düsseltal,2015,348
23,Düsseltal,2016,370
23,Düsseltal,2017,358
23,Düsseltal,2018,326
23,Düsseltal,2019,334
23,Düsseltal,2020,325
23,Düsseltal,2021,342
23,Düsseltal,2022,296
31,Friedrichstadt,2015,217
31,Friedrichstadt,2016,223
31,Friedrichstadt,2017,209
31,Friedrichstadt,2018,195
31,Friedrichstadt,2019,174
31,Friedrichstadt,2020,198
31,Friedrichstadt,2021,177
31,Friedrichstadt,2022,202
32,Unterbilk,2015,228
32,Unterbilk,2016,210
32,Unterbilk,2017,232
32,Unterbilk,2018,232
32,Unterbilk,2019,205
32,Unterbilk,2020,222
32,Unterbilk,2021,235
32,Unterbilk,2022,212
33,Hafen,2015,.
33,Hafen,2016,-
33,Hafen,2017,-
33,Hafen,2018,.
33,Hafen,2019,-
33,Hafen,2020,-
33,Hafen,2021,1
33,Hafen,2022,-
34,Hamm,2015,86
34,Hamm,2016,75
34,Hamm,2017,49
34,Hamm,2018,70
34,Hamm,2019,69
34,Hamm,2020,77
34,Hamm,2021,64
34,Hamm,2022,57
35,Volmerswerth,2015,23
35,Volmerswerth,2016,26
35,Volmerswerth,2017,25
35,Volmerswerth,2018,19
35,Volmerswerth,2019,24
35,Volmerswerth,2020,23
35,Volmerswerth,2021,24
35,Volmerswerth,2022,24
36,Bilk,2015,431
36,Bilk,2016,417
36,Bilk,2017,439
36,Bilk,2018,433
36,Bilk,2019,424
36,Bilk,2020,442
36,Bilk,2021,407
36,Bilk,2022,377
37,Oberbilk,2015,352
37,Oberbilk,2016,331
37,Oberbilk,2017,343
37,Oberbilk,2018,340
37,Oberbilk,2019,342
37,Oberbilk,2020,306
37,Oberbilk,2021,311
37,Oberbilk,2022,316
38,Flehe,2015,26
38,Flehe,2016,41
38,Flehe,2017,20
38,Flehe,2018,32
38,Flehe,2019,28
38,Flehe,2020,29
38,Flehe,2021,31
38,Flehe,2022,27
41,Oberkassel,2015,199
41,Oberkassel,2016,235
41,Oberkassel,2017,250
41,Oberkassel,2018,254
41,Oberkassel,2019,229
41,Oberkassel,2020,227
41,Oberkassel,2021,234
41,Oberkassel,2022,206
42,Heerdt,2015,117
42,Heerdt,2016,126
42,Heerdt,2017,122
42,Heerdt,2018,122
42,Heerdt,2019,138
42,Heerdt,2020,160
42,Heerdt,2021,138
42,Heerdt,2022,136
43,Lörick,2015,56
43,Lörick,2016,66
43,Lörick,2017,67
43,Lörick,2018,61
43,Lörick,2019,62
43,Lörick,2020,68
43,Lörick,2021,48
43,Lörick,2022,57
44,Niederkassel,2015,53
44,Niederkassel,2016,47
44,Niederkassel,2017,64
44,Niederkassel,2018,59
44,Niederkassel,2019,52
44,Niederkassel,2020,50
44,Niederkassel,2021,41
44,Niederkassel,2022,47
51,Stockum,2015,31
51,Stockum,2016,31
51,Stockum,2017,37
51,Stockum,2018,33
51,Stockum,2019,36
51,Stockum,2020,41
51,Stockum,2021,41
51,Stockum,2022,41
52,Lohausen,2015,29
52,Lohausen,2016,37
52,Lohausen,2017,40
52,Lohausen,2018,29
52,Lohausen,2019,31
52,Lohausen,2020,35
52,Lohausen,2021,39
52,Lohausen,2022,29
53,Kaiserswerth,2015,56
53,Kaiserswerth,2016,77
53,Kaiserswerth,2017,56
53,Kaiserswerth,2018,53
53,Kaiserswerth,2019,52
53,Kaiserswerth,2020,48
53,Kaiserswerth,2021,47
53,Kaiserswerth,2022,58
54,Wittlaer,2015,55
54,Wittlaer,2016,56
54,Wittlaer,2017,47
54,Wittlaer,2018,56
54,Wittlaer,2019,50
54,Wittlaer,2020,43
54,Wittlaer,2021,56
54,Wittlaer,2022,59
55,Angermund,2015,56
55,Angermund,2016,66
55,Angermund,2017,58
55,Angermund,2018,48
55,Angermund,2019,54
55,Angermund,2020,69
55,Angermund,2021,55
55,Angermund,2022,46
56,Kalkum,2015,18
56,Kalkum,2016,10
56,Kalkum,2017,10
56,Kalkum,2018,8
56,Kalkum,2019,15
56,Kalkum,2020,15
56,Kalkum,2021,9
56,Kalkum,2022,11
61,Lichtenbroich,2015,42
61,Lichtenbroich,2016,66
61,Lichtenbroich,2017,74
61,Lichtenbroich,2018,49
61,Lichtenbroich,2019,57
61,Lichtenbroich,2020,62
61,Lichtenbroich,2021,53
61,Lichtenbroich,2022,65
62,Unterrath,2015,153
62,Unterrath,2016,188
62,Unterrath,2017,190
62,Unterrath,2018,170
62,Unterrath,2019,157
62,Unterrath,2020,172
62,Unterrath,2021,186
62,Unterrath,2022,164
63,Rath,2015,220
63,Rath,2016,243
63,Rath,2017,224
63,Rath,2018,235
63,Rath,2019,188
63,Rath,2020,213
63,Rath,2021,213
63,Rath,2022,224
64,Mörsenbroich,2015,173
64,Mörsenbroich,2016,223
64,Mörsenbroich,2017,240
64,Mörsenbroich,2018,241
64,Mörsenbroich,2019,200
64,Mörsenbroich,2020,202
64,Mörsenbroich,2021,205
64,Mörsenbroich,2022,194
71,Gerresheim,2015,234
71,Gerresheim,2016,263
71,Gerresheim,2017,264
71,Gerresheim,2018,244
71,Gerresheim,2019,224
71,Gerresheim,2020,221
71,Gerresheim,2021,221
71,Gerresheim,2022,235
72,Grafenberg,2015,72
72,Grafenberg,2016,52
72,Grafenberg,2017,78
72,Grafenberg,2018,57
72,Grafenberg,2019,78
72,Grafenberg,2020,59
72,Grafenberg,2021,59
72,Grafenberg,2022,67
73,Ludenberg,2015,96
73,Ludenberg,2016,107
73,Ludenberg,2017,87
73,Ludenberg,2018,89
73,Ludenberg,2019,83
73,Ludenberg,2020,93
73,Ludenberg,2021,76
73,Ludenberg,2022,74
74,Hubbelrath,2015,9
74,Hubbelrath,2016,11
74,Hubbelrath,2017,10
74,Hubbelrath,2018,10
74,Hubbelrath,2019,6
74,Hubbelrath,2020,7
74,Hubbelrath,2021,14
74,Hubbelrath,2022,11
75,Knittkuhl,2015,27
75,Knittkuhl,2016,19
75,Knittkuhl,2017,25
75,Knittkuhl,2018,28
75,Knittkuhl,2019,17
75,Knittkuhl,2020,17
75,Knittkuhl,2021,23
75,Knittkuhl,2022,14
81,Lierenfeld,2015,108
81,Lierenfeld,2016,99
81,Lierenfeld,2017,128
81,Lierenfeld,2018,125
81,Lierenfeld,2019,102
8,Lierenfeld,2020,94
81,Lierenfeld,2021,121
81,Lierenfeld,2022,96
82,Eller,2015,321
82,Eller,2016,330
82,Eller,2017,318
82,Eller,2018,324
82,Eller,2019,309
82,Eller,2020,289
82,Eller,2021,301
82,Eller,2022,294
83,Vennhausen,2015,88
83,Vennhausen,2016,101
83,Vennhausen,2017,78
83,Vennhausen,2018,93
83,Vennhausen,2019,90
83,Vennhausen,2020,73
83,Vennhausen,2021,77
83,Vennhausen,2022,80
84,Unterbach,2015,75
84,Unterbach,2016,70
84,Unterbach,2017,79
84,Unterbach,2018,60
84,Unterbach,2019,82
84,Unterbach,2020,71
84,Unterbach,2021,83
84,Unterbach,2022,68
91,Wersten,2015,263
91,Wersten,2016,235
91,Wersten,2017,243
91,Wersten,2018,275
91,Wersten,2019,229
91,Wersten,2020,245
91,Wersten,2021,236
91,Wersten,2022,205
92,Himmelgeist,2015,33
92,Himmelgeist,2016,27
92,Himmelgeist,2017,29
92,Himmelgeist,2018,20
92,Himmelgeist,2019,18
92,Himmelgeist,2020,20
92,Himmelgeist,2021,20
92,Himmelgeist,2022,27
93,Holthausen,2015,138
93,Holthausen,2016,144
93,Holthausen,2017,167
93,Holthausen,2018,155
93,Holthausen,2019,128
93,Holthausen,2020,133
93,Holthausen,2021,136
93,Holthausen,2022,120
94,Reisholz,2015,46
94,Reisholz,2016,35
94,Reisholz,2017,55
94,Reisholz,2018,37
94,Reisholz,2019,48
94,Reisholz,2020,36
94,Reisholz,2021,30
94,Reisholz,2022,26
95,Benrath,2015,196
95,Benrath,2016,202
95,Benrath,2017,184
95,Benrath,2018,183
95,Benrath,2019,185
95,Benrath,2020,165
95,Benrath,2021,210
95,Benrath,2022,179
96,Urdenbach,2015,68
96,Urdenbach,2016,84
96,Urdenbach,2017,88
96,Urdenbach,2018,70
96,Urdenbach,2019,82
96,Urdenbach,2020,68
96,Urdenbach,2021,77
96,Urdenbach,2022,76
97,Itter,2015,19
97,Itter,2016,23
97,Itter,2017,14
97,Itter,2018,22
97,Itter,2019,12
97,Itter,2020,17
97,Itter,2021,19
97,Itter,2022,8
98,Hassels,2015,173
98,Hassels,2016,174
98,Hassels,2017,213
98,Hassels,2018,184
98,Hassels,2019,199
98,Hassels,2020,184
98,Hassels,2021,202
98,Hassels,2022,216
101,Garath,2015,190
101,Garath,2016,203
101,Garath,2017,216
101,Garath,2018,225
101,Garath,2019,179
101,Garath,2020,188
101,Garath,2021,192
101,Garath,2022,175
102,Hellerhof,2015,38
102,Hellerhof,2016,48
102,Hellerhof,2017,50
102,Hellerhof,2018,35
102,Hellerhof,2019,40
102,Hellerhof,2020,42
102,Hellerhof,2021,48
102,Hellerhof,2022,41